Year,Month,Day,Open,Close,Volume,Range,Close_T1,Close_T2,Close_T3,Return,MovAverage,MovVol
2011,6,6,49.385715,48.291428,115485300,1.319999,49.062859,49.442856,49.35857,-0.015723319,0.000947101,0.002717713
2011,6,7,48.310001,47.434284,132446300,0.902854,48.291428,49.062859,49.442856,-0.017749403,0.002013353,0.002443525
2011,6,8,47.397144,47.462856,83430900,0.592857,47.434284,48.291428,49.062859,0.000602349,0.003594998,0.002328965
2011,6,9,47.607143,47.355713,68772200,0.417141,47.462856,47.434284,48.291428,-0.002257407,0.003900927,0.002426319
2011,6,10,47.221428,46.557144,108488800,0.878574,47.355713,47.462856,47.434284,-0.016863203,0.003252524,0.00283318
2011,6,13,46.742859,46.657143,82368300,0.462856,46.557144,47.355713,47.462856,0.002147877,0.004021902,0.002852308
2011,6,14,47.142857,47.491428,83642300,0.562858,46.657143,46.557144,47.355713,0.017881185,0.004494417,0.002988347
2011,6,15,47.107143,46.67857,99799000,0.774285,47.491428,46.657143,46.557144,-0.017115889,0.003609682,0.003079857
2011,6,16,46.700001,46.451427,127647800,1.478569,46.67857,47.491428,46.657143,-0.004866109,0.005376385,0.003115222
2011,6,17,46.998573,45.751427,153755000,1.412857,46.451427,46.67857,47.491428,-0.015069505,0.006766873,0.003194586
2011,6,20,45.337143,45.045715,160161400,1.028572,45.751427,46.451427,46.67857,-0.015424918,0.00787301,0.00334235
2011,6,21,45.240002,46.471428,123345600,1.514286,45.045715,45.751427,46.451427,0.031650358,0.009877456,0.003453354
2011,6,22,46.451427,46.087143,97645800,0.931427,46.471428,45.045715,45.751427,-0.008269275,0.0084183,0.00364796
2011,6,23,45.562859,47.318573,139939800,1.938572,46.087143,46.471428,45.045715,0.026719599,0.00955103,0.003959439
2011,6,24,47.33857,46.621429,109951800,1.151428,47.318573,46.087143,46.471428,-0.014732989,0.00890826,0.004151008
2011,6,27,46.798573,47.434284,84953400,0.950001,46.621429,47.318573,46.087143,0.017435223,0.010196557,0.004151063
2011,6,28,47.664288,47.894287,73574900,0.465713,47.434284,46.621429,47.318573,0.00969769,0.0080891,0.003972474
2011,6,29,48.005714,47.720001,88136300,0.641426,47.894287,47.434284,46.621429,-0.003638973,0.007533908,0.003832401
2011,6,30,47.814285,47.952858,80738700,0.469997,47.720001,47.894287,47.434284,0.004879652,0.007544338,0.003622436
2011,7,1,47.992859,49.037144,108828300,1.328571,47.952858,47.720001,47.894287,0.022611499,0.0080766,0.003335386
2011,7,5,49,49.918571,88763500,1.047146,49.037144,47.952858,47.720001,0.017974681,0.006058884,0.002923765
2011,7,6,49.849998,50.251427,111156500,1.055713,49.918571,49.037144,47.952858,0.006667979,0.005651086,0.002643499
2011,7,7,50.667141,51.028572,99915900,0.571427,50.251427,49.918571,49.037144,0.015465133,0.003489791,0.002353208
2011,7,8,50.477142,51.387142,122408300,1.114285,51.028572,50.251427,49.918571,0.007026848,0.002280158,0.002211497
